Protein	Des
B0VR59	Genome Annotation
B0VR79	Genome Annotation
B0VRB4	Genome Annotation
B0VRC9	Genome Annotation
B0VRD1	Genome Annotation
B0VRG2	Genome Annotation
B0VRH0	Genome Annotation
B0VRH4	Genome Annotation
B0VRH6	Genome Annotation
B0VRJ0	Genome Annotation
B0VRK6	Genome Annotation
B0VRK7	Genome Annotation
B0VRK9	Genome Annotation
B0VRL3	Genome Annotation
B0VRL9	Genome Annotation
B0VRN3	Genome Annotation
B0VRN5	Genome Annotation
B0VRN8	Genome Annotation
B0VRN9	Genome Annotation
B0VRW1	Genome Annotation
B0VRX0	Genome Annotation
B0VRX4	Genome Annotation
B0VRZ6	Genome Annotation
B0VS13	Genome Annotation
B0VSA2	Genome Annotation
B0VSA6	Genome Annotation
B0VSB0	Genome Annotation
B0VSC3	Genome Annotation
B0VSC6	Genome Annotation
B0VSC7	Genome Annotation
B0VSG3	Genome Annotation
B0VSH0	Genome Annotation
B0VSK6	Genome Annotation
B0VSK9	Genome Annotation
B0VSL1	Genome Annotation
B0VSM6	Genome Annotation
B0VSP4	Genome Annotation
B0VSP5	Genome Annotation
B0VSP8	Genome Annotation
B0VSR1	Genome Annotation
B0VT26	Genome Annotation
B0VT30	Genome Annotation
B0VT37	Genome Annotation
B0VT43	Genome Annotation
B0VT50	Genome Annotation
B0VT51	Genome Annotation
B0VT70	Genome Annotation
B0VT89	Genome Annotation
B0VTA3	Genome Annotation
B0VTE3	Genome Annotation
B0VTE4	Genome Annotation
B0VTE7	Genome Annotation
B0VTF2	Genome Annotation
B0VTG3	Genome Annotation
B0VTG4	Genome Annotation
B0VTG5	Genome Annotation
B0VTG6	Genome Annotation
B0VTG7	Genome Annotation
B0VTK7	Genome Annotation
B0VTL0	Genome Annotation
B0VTL8	Genome Annotation
B0VTN8	Genome Annotation
B0VTP6	Genome Annotation
B0VTQ1	Genome Annotation
B0VTR7	Genome Annotation
B0VTW8	Genome Annotation
B0VTY1	Genome Annotation
B0VTY5	Genome Annotation
B0VU03	Genome Annotation
B0VU34	Genome Annotation
B0VU36	Genome Annotation
B0VU39	Genome Annotation
B0VU92	Genome Annotation
B0VUG0	Genome Annotation
B0VUH1	Genome Annotation
B0VUQ9	Genome Annotation
B0VUR7	Genome Annotation
B0VUS6	Genome Annotation
B0VUT0	Genome Annotation
B0VUT7	Genome Annotation
B0VUU5	Genome Annotation
B0VUU9	Genome Annotation
B0VUW0	Genome Annotation
B0VUW1	Genome Annotation
B0VUX3	Genome Annotation
B0VV27	Genome Annotation
B0VV34	Genome Annotation
B0VVA3	Genome Annotation
B0VVG9	Genome Annotation
B1LJZ7	Genome Annotation
B1XHQ1	Genome Annotation
B1XHR0	Genome Annotation
B1XHU3	Genome Annotation
B1XHV3	Genome Annotation
B1XHW1	Genome Annotation
B1XHX8	Genome Annotation
B1XHY8	Genome Annotation
B1XI00	Genome Annotation
B1XI15	Genome Annotation
B1XI23	Genome Annotation
B1XI27	Genome Annotation
B1XI34	Genome Annotation
B1XI63	Genome Annotation
B1XI89	Genome Annotation
B1XIB1	Genome Annotation
B1XID3	Genome Annotation
B1XID9	Genome Annotation
B1XIJ8	Genome Annotation
B1XIQ3	Genome Annotation
B1XIR1	Genome Annotation
B1XIS1	Genome Annotation
B1XIT7	Genome Annotation
B1XIX5	Genome Annotation
B1XIY4	Genome Annotation
B1XIZ9	Genome Annotation
B1XJ00	Genome Annotation
B1XJ06	Genome Annotation
B1XJ17	Genome Annotation
B1XJ56	Genome Annotation
B1XJ57	Genome Annotation
B1XJ60	Genome Annotation
B1XJC1	Genome Annotation
B1XJE1	Genome Annotation
B1XJG5	Genome Annotation
B1XJH2	Genome Annotation
B1XJH3	Genome Annotation
B1XJI0	Genome Annotation
B1XJI9	Genome Annotation
B1XJJ0	Genome Annotation
B1XJJ1	Genome Annotation
B1XJN0	Genome Annotation
B1XJQ7	Genome Annotation
B1XJR5	Genome Annotation
B1XJV1	Genome Annotation
B1XJV4	Genome Annotation
B1XJZ4	Genome Annotation
B1XK04	Genome Annotation
B1XK65	Genome Annotation
B1XK76	Genome Annotation
B1XK81	Genome Annotation
B1XK88	Genome Annotation
B1XKC7	Genome Annotation
B1XKC9	Genome Annotation
B1XKD0	Genome Annotation
B1XKD3	Genome Annotation
B1XKD5	Genome Annotation
B1XKE5	Genome Annotation
B1XKF4	Genome Annotation
B1XKJ1	Genome Annotation
B1XKJ2	Genome Annotation
B1XKK0	Genome Annotation
B1XKK6	Genome Annotation
B1XKL1	Genome Annotation
B1XKL6	Genome Annotation
B1XKL7	Genome Annotation
B1XKM6	Genome Annotation
B1XKQ7	Genome Annotation
B1XKR6	Genome Annotation
B1XKS1	Genome Annotation
B1XKU7	Genome Annotation
B1XKV1	Genome Annotation
B1XKZ7	Genome Annotation
B1XL10	Genome Annotation
B1XL15	Genome Annotation
B1XL17	Genome Annotation
B1XL18	Genome Annotation
B1XL22	Genome Annotation
B1XL29	Genome Annotation
B1XL42	Genome Annotation
B1XL66	Genome Annotation
B1XLA1	Genome Annotation
B1XLA3	Genome Annotation
B1XLC0	Genome Annotation
B1XLC6	Genome Annotation
B1XLD2	Genome Annotation
B1XLD5	Genome Annotation
B1XLE2	Genome Annotation
B1XLF2	Genome Annotation
B1XLF8	Genome Annotation
B1XLH5	Genome Annotation
B1XLK6	Genome Annotation
B1XLN4	Genome Annotation
B1XLP9	Genome Annotation
B1XLQ7	Genome Annotation
B1XLT0	Genome Annotation
B1XLU9	Genome Annotation
B1XLZ0	Genome Annotation
B1XLZ3	Genome Annotation
B1XLZ7	Genome Annotation
B1XM06	Genome Annotation
B1XM21	Genome Annotation
B1XM32	Genome Annotation
B1XM44	Genome Annotation
B1XM45	Genome Annotation
B1XM81	Genome Annotation
B1XM95	Genome Annotation
B1XMD0	Genome Annotation
B1XMF0	Genome Annotation
B1XMF3	Genome Annotation
B1XMF7	Genome Annotation
B1XMG6	Genome Annotation
B1XMJ1	Genome Annotation
B1XMJ8	Genome Annotation
B1XML7	Genome Annotation
B1XMR4	Genome Annotation
B1XMS4	Genome Annotation
B1XMS5	Genome Annotation
B1XMT9	Genome Annotation
B1XMV9	Genome Annotation
B1XMW3	Genome Annotation
B1XMW4	Genome Annotation
B1XMW7	Genome Annotation
B1XMY8	Genome Annotation
B1XN08	Genome Annotation
B1XN10	Genome Annotation
B1XN11	Genome Annotation
B1XN19	Genome Annotation
B1XN27	Genome Annotation
B1XN32	Genome Annotation
B1XN36	Genome Annotation
B1XN39	Genome Annotation
B1XN41	Genome Annotation
B1XN46	Genome Annotation
B1XN61	Genome Annotation
B1XN69	Genome Annotation
B1XN71	Genome Annotation
B1XN87	Genome Annotation
B1XN94	Genome Annotation
B1XN95	Genome Annotation
B1XNA5	Genome Annotation
B1XNB5	Genome Annotation
B1XNH1	Genome Annotation
B1XNH3	Genome Annotation
B1XNI7	Genome Annotation
B1XNJ2	Genome Annotation
B1XNM4	Genome Annotation
B1XNP2	Genome Annotation
B1XNQ8	Genome Annotation
B1XNR2	Genome Annotation
B1XNS5	Genome Annotation
B1XNV2	Genome Annotation
B1XNY5	Genome Annotation
B1XNY8	Genome Annotation
B1XP01	Genome Annotation
B1XP17	Genome Annotation
B1XP36	Genome Annotation
B1XP38	Genome Annotation
B1XP53	Genome Annotation
B1XP61	Genome Annotation
B1XP71	Genome Annotation
B1XP78	Genome Annotation
B1XP79	Genome Annotation
B1XP80	Genome Annotation
B1XP90	Genome Annotation
B1XP95	Genome Annotation
B1XPA6	Genome Annotation
B1XPA7	Genome Annotation
B1XPB6	Genome Annotation
B1XPC5	Genome Annotation
B1XPD4	Genome Annotation
B1XPE2	Genome Annotation
B1XPE7	Genome Annotation
B1XPF4	Genome Annotation
B1XPG7	Genome Annotation
B1XPK2	Genome Annotation
B1XPK3	Genome Annotation
B1XPP4	Genome Annotation
B1XPU9	Genome Annotation
B1XPV1	Genome Annotation
B1XPX6	Genome Annotation
B1XPX8	Genome Annotation
B1XQ64	Genome Annotation
B1XQ68	Genome Annotation
B1XQ75	Genome Annotation
B1XQ85	Genome Annotation
B1XQ92	Genome Annotation
B1XQA7	Genome Annotation
B1XQB2	Genome Annotation
B1XQE5	Genome Annotation
B1XQF1	Genome Annotation
B1XQF2	Genome Annotation
B1XQF6	Genome Annotation
B1XQG3	Genome Annotation
B1XQG5	Genome Annotation
B1XQG8	Genome Annotation
B1XQJ2	Genome Annotation
B1XQL7	Genome Annotation
B1XQM2	Genome Annotation
B1XQP1	Genome Annotation
B1XQQ7	Genome Annotation
B1XQQ9	Genome Annotation
B1XQR5	Genome Annotation
B1XQS4	Genome Annotation
B1XQV0	Genome Annotation
B1XQW1	Genome Annotation
B1XQX2	Genome Annotation
B1XQX5	Genome Annotation
B1XQZ6	Genome Annotation
B1XR00	Genome Annotation
B1XR14	Genome Annotation
B1XR17	Genome Annotation
B1XR21	Genome Annotation
B1XR22	Genome Annotation
B1XR35	Genome Annotation
B1XR40	Genome Annotation
B1XR47	Genome Annotation
B1XR72	Genome Annotation
B1XR86	Genome Annotation
B1XRA0	Genome Annotation
B1XRC9	Genome Annotation
B1XRD7	Genome Annotation
B1XRI4	Genome Annotation
B1XRL8	Genome Annotation
B1XRQ5	Genome Annotation
B1XRQ6	Genome Annotation
B2S753	Genome Annotation
B2SB45	Genome Annotation
B3GZ21	Genome Annotation
B3KLX4	Genome Annotation
B5F6V5	Genome Annotation
B5XYF7	Genome Annotation
B5XZ79	Genome Annotation
B5Y275	Genome Annotation
B5Y2E4	Genome Annotation
B7LRJ8	Genome Annotation
B7MDM9	Genome Annotation
B7SCE5	Genome Annotation
B7UM99	Genome Annotation
B7UR12	Genome Annotation
B8DE07	Genome Annotation
B8GZM2	Genome Annotation
C0H3R1	Genome Annotation
C0H3T5	Genome Annotation
C0H3T6	Genome Annotation
C0H3V2	Genome Annotation
C0H423	Genome Annotation
C0H440	Genome Annotation
C0H445	Genome Annotation
C0H461	Genome Annotation
C0LZQ0	
C0SP85	Genome Annotation
C0SP93	Genome Annotation
C0SPB6	Genome Annotation
C0SPB8	Genome Annotation
C1KVC0	Genome Annotation
C1KW86	Genome Annotation
C1KX21	Genome Annotation
C1KYE1	Genome Annotation
C1KYI2	Genome Annotation
C1KYU1	Genome Annotation
C1KZK7	Genome Annotation
C3W947	
C5BGM2	Genome Annotation
C8T007	Genome Annotation
C8UMQ9	Genome Annotation
D0WT66	Genome Annotation
D0WX67	Genome Annotation
D0WZ14	Genome Annotation
D0X0H0	Genome Annotation
D0X3A8	Genome Annotation
D0X4G1	Genome Annotation
D0ZV89	Genome Annotation
D2BKU3	Genome Annotation
D2BKU8	Genome Annotation
D2BKY7	Genome Annotation
D2BKZ2	Genome Annotation
D2BLI2	Genome Annotation
D2BM73	Genome Annotation
D2BMX4	Genome Annotation
D2BNL6	Genome Annotation
D2BNM4	Genome Annotation
D2BNR6	Genome Annotation
D2BP55	Genome Annotation
D2BQ68	Genome Annotation
D2BRC3	Genome Annotation
D4GUJ7	Genome Annotation
D4GYZ1	Genome Annotation
D4H071	Genome Annotation
D5E6P6	Genome Annotation
D5E6P9	Genome Annotation
D5E6Y5	Genome Annotation
D5E7U0	Genome Annotation
D5E895	Genome Annotation
D5E8U2	Genome Annotation
D5E9H2	Genome Annotation
D5E9V6	Genome Annotation
D5E9V9	Genome Annotation
D5E9Y3	Genome Annotation
D5EAE2	Genome Annotation
D5EB50	Genome Annotation
D5EBE9	Genome Annotation
D5EBU5	Genome Annotation
D5EBX8	Genome Annotation
E2JA29	
F2Z5W8	Genome Annotation
F2Z5Y7	Genome Annotation
F2Z5Z2	Genome Annotation
F2Z692	Genome Annotation
F2Z698	Genome Annotation
F2Z6D2	Genome Annotation
F2Z6F6	Genome Annotation
F2Z6G3	Genome Annotation
F6KV61	
F6KV62	
G2K046	Genome Annotation
G2K047	Genome Annotation
G3XD28	Genome Annotation
G3XD31	Genome Annotation
G3XD71	Genome Annotation
G5EB01	Genome Annotation
I6WXK4	Genome Annotation
I6WYU2	Genome Annotation
I6WZ58	Genome Annotation
I6WZG6	Genome Annotation
I6WZI4	Genome Annotation
I6WZK7	Genome Annotation
I6WZM9	Genome Annotation
I6WZS4	Genome Annotation
I6X540	Genome Annotation
I6X5C9	Genome Annotation
I6X5I7	Genome Annotation
I6X5T4	Genome Annotation
I6X6H8	Genome Annotation
I6X7G4	Genome Annotation
I6X7W8	Genome Annotation
I6X827	Genome Annotation
I6X8D2	Genome Annotation
I6X961	Genome Annotation
I6XF31	Genome Annotation
I6XF52	Genome Annotation
I6XF60	Genome Annotation
I6XHG6	Genome Annotation
I6XVZ6	Genome Annotation
I6XW38	Genome Annotation
I6XWB9	Genome Annotation
I6XZC4	Genome Annotation
I6Y1H7	Genome Annotation
I6Y231	Genome Annotation
I6Y242	Genome Annotation
I6Y2E2	Genome Annotation
I6Y2G3	Genome Annotation
I6Y2I9	Genome Annotation
I6Y3S9	Genome Annotation
I6Y3V3	Genome Annotation
I6Y4D2	Genome Annotation
I6Y4U9	Genome Annotation
I6Y4V2	Genome Annotation
I6Y748	Genome Annotation
I6Y778	Genome Annotation
I6Y7V6	Genome Annotation
I6Y897	Genome Annotation
I6Y9K2	Genome Annotation
I6Y9Q3	Genome Annotation
I6YA03	Genome Annotation
I6YA17	Genome Annotation
I6YA29	Genome Annotation
I6YAV3	Genome Annotation
I6YC91	Genome Annotation
I6YDN6	Genome Annotation
I6YF40	Genome Annotation
I6YG87	Genome Annotation
I6YHB0	Genome Annotation
I7FGY5	
J9R0U7	Genome Annotation
K1VPX5	Genome Annotation
K1VZL1	Genome Annotation
K1W040	Genome Annotation
K1W0W3	Genome Annotation
K1W2U9	Genome Annotation
K1W772	Genome Annotation
K1W7L7	Genome Annotation
K1WFA9	Genome Annotation
K1WPM3	Genome Annotation
K1WR40	Genome Annotation
K1WSH3	Genome Annotation
K1X2U2	Genome Annotation
K1XE41	Genome Annotation
K1XG38	Genome Annotation
K4PDN9	
L0T2Z1	Genome Annotation
L0T905	Genome Annotation
L0TFC2	Genome Annotation
L7N653	Genome Annotation
L7N657	Genome Annotation
L7N663	Genome Annotation
L7N664	Genome Annotation
L7N668	Genome Annotation
L7N673	Genome Annotation
L7N675	Genome Annotation
L7N686	Genome Annotation
L7N690	Genome Annotation
L7N6A4	Genome Annotation
L7N6B0	Genome Annotation
L9UQ37	Genome Annotation
N1UKI7	Genome Annotation
O05223	Genome Annotation
O05236	Genome Annotation
O05251	Genome Annotation
O05268	Genome Annotation
O05310	Genome Annotation
O05312	Genome Annotation
O05389	Genome Annotation
O05410	Genome Annotation
O05436	Genome Annotation
O05442	Genome Annotation
O05450	Genome Annotation
O05456	Genome Annotation
O05495	Genome Annotation
O05518	Genome Annotation
O05519	Genome Annotation
O05520	Genome Annotation
O05521	Genome Annotation
O05582	Genome Annotation
O05634	Genome Annotation
O05640	Genome Annotation
O05641	Genome Annotation
O05771	Genome Annotation
O05773	Genome Annotation
O05777	Genome Annotation
O05780	Genome Annotation
O05823	Genome Annotation
O05828	Genome Annotation
O05853	Genome Annotation
O05855	Genome Annotation
O05877	Genome Annotation
O05981	Genome Annotation
O05982	Genome Annotation
O06137	Genome Annotation
O06159	Genome Annotation
O06170	Genome Annotation
O06194	Genome Annotation
O06218	Genome Annotation
O06243	Genome Annotation
O06263	Genome Annotation
O06278	Genome Annotation
O06311	Genome Annotation
O06396	Genome Annotation
O06403	Genome Annotation
O06404	Genome Annotation
O06457	Genome Annotation
O06476	Genome Annotation
O06491	Genome Annotation
O06492	Genome Annotation
O06538	Genome Annotation
O06597	Genome Annotation
O06604	Genome Annotation
O06611	Genome Annotation
O06614	Genome Annotation
O06802	Genome Annotation
O06807	Genome Annotation
O06825	Genome Annotation
O06925	
O06974	Genome Annotation
O06976	Genome Annotation
O07012	Genome Annotation
O07021	Genome Annotation
O07180	Genome Annotation
O07181	Genome Annotation
O07196	Genome Annotation
O07198	Genome Annotation
O07227	Genome Annotation
O07235	Genome Annotation
O07239	Genome Annotation
O07255	Genome Annotation
O07406	Genome Annotation
O07411	Genome Annotation
O07416	Genome Annotation
O07419	Genome Annotation
O07422	Genome Annotation
O07521	Genome Annotation
O07542	Genome Annotation
O07584	Genome Annotation
O07596	Genome Annotation
O07634	Genome Annotation
O07636	Genome Annotation
O07678	Genome Annotation
O07717	Genome Annotation
O07720	Genome Annotation
O07728	Genome Annotation
O07806	Genome Annotation
O07809	Genome Annotation
O07853	Genome Annotation
O08309	Genome Annotation
O08314	Genome Annotation
O08335	Genome Annotation
O08357	Genome Annotation
O08359	Genome Annotation
O08394	Genome Annotation
O24862	Genome Annotation
O24870	Genome Annotation
O24875	Genome Annotation
O24895	Genome Annotation
O24900	Genome Annotation
O24904	Genome Annotation
O24911	Genome Annotation
O24916	Genome Annotation
O24922	Genome Annotation
O24934	Genome Annotation
O24974	Genome Annotation
O24978	Genome Annotation
O25008	Genome Annotation
O25029	Genome Annotation
O25032	Genome Annotation
O25047	Genome Annotation
O25058	Genome Annotation
O25066	Genome Annotation
O25068	Genome Annotation
O25121	Genome Annotation
O25125	Genome Annotation
O25130	Genome Annotation
O25164	Genome Annotation
O25170	Genome Annotation
O25176	Genome Annotation
O25196	Genome Annotation
O25214	Genome Annotation
O25235	Genome Annotation
O25247	Genome Annotation
O25252	Genome Annotation
O25273	Genome Annotation
O25284	Genome Annotation
O25298	Genome Annotation
O25308	Genome Annotation
O25330	Genome Annotation
O25395	Genome Annotation
O25396	Genome Annotation
O25400	Genome Annotation
O25402	Genome Annotation
O25436	Genome Annotation
O25461	Genome Annotation
O25466	Genome Annotation
O25500	Genome Annotation
O25510	Genome Annotation
O25526	Genome Annotation
O25547	Genome Annotation
O25553	Genome Annotation
O25595	Genome Annotation
O25610	Genome Annotation
O25616	Genome Annotation
O25661	Genome Annotation
O25664	Genome Annotation
O25672	Genome Annotation
O25695	Genome Annotation
O25752	Genome Annotation
O25806	Genome Annotation
O25819	Genome Annotation
O25852	Genome Annotation
O25879	Genome Annotation
O25953	Genome Annotation
O26013	Genome Annotation
O26019	Genome Annotation
O26037	Genome Annotation
O26046	Genome Annotation
O26058	Genome Annotation
O26090	Genome Annotation
O26094	Genome Annotation
O26098	Genome Annotation
O26103	Genome Annotation
O28471	Genome Annotation
O30245	Genome Annotation
O30409	
O31149	Genome Annotation
O31447	Genome Annotation
O31458	Genome Annotation
O31462	Genome Annotation
O31487	Genome Annotation
O31489	Genome Annotation
O31501	Genome Annotation
O31509	Genome Annotation
O31540	Genome Annotation
O31541	Genome Annotation
O31544	Genome Annotation
O31556	Genome Annotation
O31567	Genome Annotation
O31587	Genome Annotation
O31592	Genome Annotation
O31605	Genome Annotation
O31609	Genome Annotation
O31611	Genome Annotation
O31612	Genome Annotation
O31618	Genome Annotation
O31622	Genome Annotation
O31629	Genome Annotation
O31644	Genome Annotation
O31645	Genome Annotation
O31646	Genome Annotation
O31657	Genome Annotation
O31662	Genome Annotation
O31663	Genome Annotation
O31666	Genome Annotation
O31669	Genome Annotation
O31672	Genome Annotation
O31673	Genome Annotation
O31684	Genome Annotation
O31691	Genome Annotation
O31716	Genome Annotation
O31717	Genome Annotation
O31741	Genome Annotation
O31749	Genome Annotation
O31760	Genome Annotation
O31761	Genome Annotation
O31768	Genome Annotation
O31771	Genome Annotation
O31774	Genome Annotation
O31777	Genome Annotation
O31782	Genome Annotation
O31856	Genome Annotation
O31875	Genome Annotation
O31892	Genome Annotation
O31903	Genome Annotation
O31912	Genome Annotation
O31962	Genome Annotation
O31989	Genome Annotation
O31993	Genome Annotation
O32022	Genome Annotation
O32033	Genome Annotation
O32038	Genome Annotation
O32039	Genome Annotation
O32049	Genome Annotation
O32052	Genome Annotation
O32053	Genome Annotation
O32076	Genome Annotation
O32082	Genome Annotation
O32104	Genome Annotation
O32113	Genome Annotation
O32119	Genome Annotation
O32129	Genome Annotation
O32132	Genome Annotation
O32144	Genome Annotation
O32151	Genome Annotation
O32157	Genome Annotation
O32162	Genome Annotation
O32163	Genome Annotation
O32164	Genome Annotation
O32165	Genome Annotation
O32169	Genome Annotation
O32173	Genome Annotation
O32175	Genome Annotation
O32178	Genome Annotation
O32213	Genome Annotation
O32222	Genome Annotation
O32224	Genome Annotation
O32231	Genome Annotation
O32259	Genome Annotation
O32264	Genome Annotation
O32294	Genome Annotation
O32504	Genome Annotation
O32712	
O32723	
O33198	Genome Annotation
O33206	Genome Annotation
O33237	Genome Annotation
O33263	Genome Annotation
O33289	Genome Annotation
O33298	Genome Annotation
O33329	Genome Annotation
O33332	Genome Annotation
O33361	Genome Annotation
O33600	Genome Annotation
O33618	
O33749	Genome Annotation
O33768	Genome Annotation
O33770	Genome Annotation
O33775	Genome Annotation
O33780	Genome Annotation
O34094	Genome Annotation
O34153	
O34154	Genome Annotation
O34206	
O34303	Genome Annotation
O34324	Genome Annotation
O34325	Genome Annotation
O34328	Genome Annotation
O34334	Genome Annotation
O34338	Genome Annotation
O34347	Genome Annotation
O34384	Genome Annotation
O34410	Genome Annotation
O34425	Genome Annotation
O34443	Genome Annotation
O34445	Genome Annotation
O34447	Genome Annotation
O34486	Genome Annotation
O34499	Genome Annotation
O34507	Genome Annotation
O34512	Genome Annotation
O34513	Genome Annotation
O34529	Genome Annotation
O34530	Genome Annotation
O34536	Genome Annotation
O34542	Genome Annotation
O34549	Genome Annotation
O34588	Genome Annotation
O34591	Genome Annotation
O34618	Genome Annotation
O34633	Genome Annotation
O34647	Genome Annotation
O34660	Genome Annotation
O34687	Genome Annotation
O34709	Genome Annotation
O34714	Genome Annotation
O34722	Genome Annotation
O34751	Genome Annotation
O34759	Genome Annotation
O34760	Genome Annotation
O34764	Genome Annotation
O34788	Genome Annotation
O34795	Genome Annotation
O34810	Genome Annotation
O34812	Genome Annotation
O34824	Genome Annotation
O34832	Genome Annotation
O34833	Genome Annotation
O34859	Genome Annotation
O34860	Genome Annotation
O34863	Genome Annotation
O34872	Genome Annotation
O34904	Genome Annotation
O34909	Genome Annotation
O34924	Genome Annotation
O34948	Genome Annotation
O34949	Genome Annotation
O34962	Genome Annotation
O34967	Genome Annotation
O34968	Genome Annotation
O34979	Genome Annotation
O34981	Genome Annotation
O35004	Genome Annotation
O35019	Genome Annotation
O35033	Genome Annotation
O50147	Genome Annotation
O50397	Genome Annotation
O50416	Genome Annotation
O50431	Genome Annotation
O50432	Genome Annotation
O50464	Genome Annotation
O50508	
O50515	Genome Annotation
O52631	Genome Annotation
O52632	Genome Annotation
O52982	Genome Annotation
O53083	Genome Annotation
O53148	Genome Annotation
O53154	Genome Annotation
O53165	Genome Annotation
O53181	Genome Annotation
O53203	Genome Annotation
O53213	Genome Annotation
O53298	Genome Annotation
O53310	Genome Annotation
O53321	Genome Annotation
O53329	Genome Annotation
O53343	Genome Annotation
O53346	Genome Annotation
O53353	Genome Annotation
O53360	Genome Annotation
O53362	Genome Annotation
O53399	Genome Annotation
O53406	Genome Annotation
O53417	Genome Annotation
O53469	Genome Annotation
O53493	Genome Annotation
O53509	Genome Annotation
O53512	Genome Annotation
O53521	Genome Annotation
O53531	Genome Annotation
O53532	Genome Annotation
O53547	Genome Annotation
O53564	Genome Annotation
O53578	Genome Annotation
O53579	Genome Annotation
O53580	Genome Annotation
O53598	Genome Annotation
O53611	Genome Annotation
O53622	Genome Annotation
O53641	Genome Annotation
O53672	Genome Annotation
O53673	Genome Annotation
O53718	Genome Annotation
O53777	Genome Annotation
O53789	Genome Annotation
O53834	Genome Annotation
O53842	Genome Annotation
O53857	Genome Annotation
O53858	Genome Annotation
O53900	Genome Annotation
O53901	Genome Annotation
O53977	Genome Annotation
O54130	
O58655	Genome Annotation
O65934	Genome Annotation
O68970	Genome Annotation
O68973	Genome Annotation
O69250	
O69289	Genome Annotation
O69637	Genome Annotation
O69654	Genome Annotation
O69659	Genome Annotation
O69670	Genome Annotation
O69684	Genome Annotation
O69690	Genome Annotation
O69695	Genome Annotation
O69722	Genome Annotation
O69850	
O69879	Genome Annotation
O69896	
O86312	Genome Annotation
O86320	Genome Annotation
O86340	Genome Annotation
O86351	Genome Annotation
O86365	Genome Annotation
O86517	
O86525	
O86560	
O86575	
O86637	
O86716	
O86757	
O86775	Genome Annotation
O87527	Genome Annotation
O88017	
O88038	Genome Annotation
O88060	Genome Annotation
O93774	Genome Annotation
P00350	Genome Annotation
P00363	Genome Annotation
P00370	Genome Annotation
P00448	Genome Annotation
P00509	Genome Annotation
P00550	Genome Annotation
P00562	Genome Annotation
P00579	Genome Annotation
P00582	Genome Annotation
P00634	Genome Annotation
P00811	Genome Annotation
P00864	Genome Annotation
P00909	Genome Annotation
P00936	Genome Annotation
P00946	Genome Annotation
P00954	Genome Annotation
P00956	Genome Annotation
P00959	Genome Annotation
P00961	Genome Annotation
P00968	Genome Annotation
P02344	Genome Annotation
P02359	Genome Annotation
P02394	Genome Annotation
P02903	
P02925	Genome Annotation
P02931	Genome Annotation
P02968	Genome Annotation
P02974	
P03018	Genome Annotation
P03030	Genome Annotation
P03943	Genome Annotation
P03944	Genome Annotation
P04036	Genome Annotation
P04042	Genome Annotation
P04079	Genome Annotation
P04805	Genome Annotation
P04831	Genome Annotation
P04832	Genome Annotation
P04951	Genome Annotation
P04969	Genome Annotation
P04990	Genome Annotation
P05052	Genome Annotation
P05055	Genome Annotation
P05429	Genome Annotation
P05431	Genome Annotation
P05459	Genome Annotation
P05645	Genome Annotation
P05651	Genome Annotation
P05652	Genome Annotation
P05653	Genome Annotation
P05654	Genome Annotation
P05793	Genome Annotation
P06224	Genome Annotation
P06533	Genome Annotation
P06534	Genome Annotation
P06535	Genome Annotation
P06612	Genome Annotation
P06616	Genome Annotation
P06628	Genome Annotation
P06959	Genome Annotation
P06999	Genome Annotation
P07003	Genome Annotation
P07012	Genome Annotation
P07343	Genome Annotation
P07363	Genome Annotation
P07515	Genome Annotation
P07639	Genome Annotation
P07650	Genome Annotation
P07784	Genome Annotation
P07789	Genome Annotation
P08065	Genome Annotation
P08066	Genome Annotation
P08164	Genome Annotation
P08178	Genome Annotation
P08192	Genome Annotation
P08200	Genome Annotation
P08312	Genome Annotation
P08400	Genome Annotation
P08506	Genome Annotation
P08821	Genome Annotation
P08838	Genome Annotation
P08839	Genome Annotation
P08874	Genome Annotation
P08877	Genome Annotation
P08997	Genome Annotation
P09030	Genome Annotation
P09120	Genome Annotation
P09124	Genome Annotation
P09152	Genome Annotation
P09169	Genome Annotation
P09190	Genome Annotation
P09193	Genome Annotation
P09323	Genome Annotation
P09339	Genome Annotation
P09373	Genome Annotation
P09384	Genome Annotation
P09546	Genome Annotation
P09819	Genome Annotation
P09835	Genome Annotation
P09924	Genome Annotation
P0A0D6	
P0A0E0	
P0A0E3	
P0A0Q7	Genome Annotation
P0A252	Genome Annotation
P0A2D5	Genome Annotation
P0A2D9	Genome Annotation
P0A2W5	
P0A2Z0	Genome Annotation
P0A345	Genome Annotation
P0A3B4	Genome Annotation
P0A3E6	Genome Annotation
P0A3F4	Genome Annotation
P0A3H5	Genome Annotation
P0A435	Genome Annotation
P0A438	Genome Annotation
P0A439	Genome Annotation
P0A485	Genome Annotation
P0A491	Genome Annotation
P0A4D1	Genome Annotation
P0A4D2	Genome Annotation
P0A4P8	Genome Annotation
P0A4Q8	Genome Annotation
P0A4S0	Genome Annotation
P0A5B8	Genome Annotation
P0A5C0	Genome Annotation
P0A5S5	Genome Annotation
P0A6A3	Genome Annotation
P0A6A5	Genome Annotation
P0A6A8	Genome Annotation
P0A6B0	Genome Annotation
P0A6B7	Genome Annotation
P0A6D7	Genome Annotation
P0A6E4	Genome Annotation
P0A6F3	Genome Annotation
P0A6F4	Genome Annotation
P0A6F5	Genome Annotation
P0A6F7	Genome Annotation
P0A6F8	Genome Annotation
